mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,Modelo,param_n_neighbors,param_var_smoothing,param_C,param_hidden_layer_sizes
0.008153629302978516,0.000556175161319513,0.01558992862701416,0.0011236616309457691,3.0,{'max_depth': 3},0.9537037037037037,0.9259259259259259,0.9158878504672897,0.9626168224299065,0.9532710280373832,0.9439252336448598,0.9439252336448598,0.9532710280373832,0.9532710280373832,0.9345794392523364,0.9440377293181033,0.01379968420056073,3,1.0,0.6666666666666666,0.625,0.7692307692307693,0.8181818181818182,0.8,0.7142857142857143,0.7692307692307693,0.8181818181818182,0.7272727272727273,0.7708050283050283,0.09750392667887119,2,0.5833333333333334,0.6666666666666666,0.45454545454545453,0.9090909090909091,0.75,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.7113636363636363,0.1265605072029623,3,0.7368421052631579,0.6666666666666666,0.5263157894736842,0.8333333333333334,0.782608695652174,0.7272727272727273,0.7692307692307693,0.8,0.782608695652174,0.6956521739130435,0.732053095645773,0.08327209799089694,3,Árvore,,,,
0.011233258247375488,0.0018595724481738274,0.01798088550567627,0.001779062643875463,5.0,{'max_depth': 5},0.9629629629629629,0.9537037037037037,0.9532710280373832,0.9532710280373832,0.9532710280373832,0.9626168224299065,0.9345794392523364,0.9719626168224299,0.9626168224299065,0.9439252336448598,0.9552180685358256,0.010084610775377919,1,0.9,0.7692307692307693,0.8,0.75,0.8181818181818182,0.8333333333333334,0.7272727272727273,0.8,0.9,0.8,0.8098018648018648,0.05405268341909098,1,0.75,0.8333333333333334,0.7272727272727273,0.8181818181818182,0.75,0.8333333333333334,0.6666666666666666,1.0,0.75,0.6666666666666666,0.7795454545454545,0.09312020628789486,2,0.8181818181818182,0.8,0.7619047619047619,0.782608695652174,0.782608695652174,0.8333333333333334,0.6956521739130435,0.8888888888888888,0.8181818181818182,0.7272727272727273,0.790863291298074,0.05203133224467576,1,Árvore,,,,
0.008579182624816894,0.0010783480196672184,0.010080170631408692,0.0016953200518850743,10.0,{'max_depth': 10},0.9537037037037037,0.9351851851851852,0.9345794392523364,0.9532710280373832,0.9626168224299065,0.9626168224299065,0.9252336448598131,0.9626168224299065,0.9532710280373832,0.9532710280373832,0.9496365524402908,0.012620193170015908,2,0.8181818181818182,0.6470588235294118,0.75,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.7692307692307693,0.7692307692307693,0.7551321227791815,0.06150670517053449,3,0.75,0.9166666666666666,0.5454545454545454,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8121212121212121,0.12391864685207478,1,0.782608695652174,0.7586206896551724,0.631578947368421,0.8,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.8,0.8,0.7763284523151958,0.06931250982728208,2,Árvore,,,,
0.0028598785400390627,0.0002776981011611894,0.011846923828125,0.0002701113982638405,,{'n_neighbors': 3},0.9351851851851852,0.9351851851851852,0.9252336448598131,0.9252336448598131,0.897196261682243,0.9065420560747663,0.9252336448598131,0.9626168224299065,0.9252336448598131,0.9626168224299065,0.9300276912426446,0.019745155810266674,1,0.8571428571428571,0.8571428571428571,0.8,0.8,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,0.9,0.8297619047619047,0.11212870196782207,1,0.5,0.5,0.36363636363636365,0.36363636363636365,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.75,0.44772727272727264,0.1633432419550265,1,0.631578947368421,0.631578947368421,0.5,0.5,0.26666666666666666,0.4444444444444444,0.6,0.8,0.5,0.8181818181818182,0.5692450824029771,0.15666772419047612,1,KNN,3.0,,,
0.00430910587310791,0.0011194205556778235,0.017023110389709474,0.003413007175710317,,{'n_neighbors': 5},0.9074074074074074,0.8888888888888888,0.9065420560747663,0.9252336448598131,0.8785046728971962,0.8878504672897196,0.9158878504672897,0.9345794392523364,0.9065420560747663,0.9626168224299065,0.9114053305642089,0.023618917725302398,2,1.0,0.5,0.6666666666666666,0.8,0.4,0.5,0.7142857142857143,0.8571428571428571,0.75,1.0,0.7188095238095238,0.19620680121631212,3,0.16666666666666666,0.3333333333333333,0.18181818181818182,0.36363636363636365,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.5,0.25,0.6666666666666666,0.32121212121212117,0.16078463485745229,2,0.2857142857142857,0.4,0.2857142857142857,0.5,0.23529411764705882,0.25,0.5263157894736842,0.631578947368421,0.375,0.8,0.42896174259177355,0.17537734712794503,2,KNN,5.0,,,
0.004532814025878906,0.00036150575075475874,0.02028336524963379,0.0013284534031097967,,{'n_neighbors': 7},0.9074074074074074,0.8981481481481481,0.9065420560747663,0.9065420560747663,0.8878504672897196,0.897196261682243,0.9158878504672897,0.9158878504672897,0.9158878504672897,0.9252336448598131,0.9076583592938732,0.01052079687270606,3,1.0,0.6666666666666666,0.6666666666666666,0.6,0.5,1.0,1.0,0.8,1.0,1.0,0.8233333333333333,0.18976593769987046,2,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.2727272727272727,0.16666666666666666,0.08333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.22045454545454546,0.07676975342752061,3,0.2857142857142857,0.26666666666666666,0.2857142857142857,0.375,0.25,0.15384615384615385,0.4,0.47058823529411764,0.4,0.5,0.33875296272355093,0.102512265580374,3,KNN,7.0,,,
0.004710865020751953,0.0010631714064557951,0.012577486038208009,0.002921191662794528,,{'var_smoothing': 1e-09},0.3425925925925926,0.2037037037037037,0.2336448598130841,0.2523364485981308,0.2897196261682243,0.2616822429906542,0.19626168224299065,0.22429906542056074,0.205607476635514,0.2336448598130841,0.24434925579785394,0.04262749210899346,3,0.14457831325301204,0.12244897959183673,0.10989010989010989,0.12087912087912088,0.13636363636363635,0.12359550561797752,0.12244897959183673,0.12631578947368421,0.10752688172043011,0.1276595744680851,0.12417068908497293,0.010392102552318754,3,1.0,1.0,0.9090909090909091,1.0,1.0,0.9166666666666666,1.0,1.0,0.8333333333333334,1.0,0.965909090909091,0.05600427144932188,1,0.25263157894736843,0.21818181818181817,0.19607843137254902,0.21568627450980393,0.24,0.21782178217821782,0.21818181818181817,0.22429906542056074,0.19047619047619047,0.22641509433962265,0.21997720536079496,0.01731563268450494,3,Naive Bayes,,1e-09,,
0.0037164926528930665,0.000442015513069606,0.009800076484680176,0.0011593797780598072,,{'var_smoothing': 1e-08},0.35185185185185186,0.2222222222222222,0.2523364485981308,0.2616822429906542,0.2897196261682243,0.2616822429906542,0.19626168224299065,0.22429906542056074,0.22429906542056074,0.24299065420560748,0.2527345102111457,0.041454433177752,2,0.14634146341463414,0.125,0.11235955056179775,0.12222222222222222,0.13636363636363635,0.12359550561797752,0.12244897959183673,0.12631578947368421,0.10989010989010989,0.12903225806451613,0.1253569515200415,0.01002792428846497,2,1.0,1.0,0.9090909090909091,1.0,1.0,0.9166666666666666,1.0,1.0,0.8333333333333334,1.0,0.965909090909091,0.05600427144932188,1,0.2553191489361702,0.2222222222222222,0.2,0.21782178217821782,0.24,0.21782178217821782,0.21818181818181817,0.22429906542056074,0.1941747572815534,0.22857142857142856,0.2218412004970189,0.01670380173515105,2,Naive Bayes,,1e-08,,
0.003660702705383301,0.0004502473408585371,0.009461808204650878,0.0006468508721647282,,{'var_smoothing': 1e-07},0.4074074074074074,0.25925925925925924,0.2616822429906542,0.29906542056074764,0.3925233644859813,0.2897196261682243,0.29906542056074764,0.2523364485981308,0.22429906542056074,0.2616822429906542,0.2947040498442367,0.0570286251051512,1,0.14864864864864866,0.12222222222222222,0.11363636363636363,0.12790697674418605,0.15584415584415584,0.12790697674418605,0.13793103448275862,0.13043478260869565,0.10989010989010989,0.13186813186813187,0.13062894026894584,0.013489806094942328,1,0.9166666666666666,0.9166666666666666,0.9090909090909091,1.0,1.0,0.9166666666666666,1.0,1.0,0.8333333333333334,1.0,0.9492424242424242,0.0557783640430302,3,0.2558139534883721,0.21568627450980393,0.20202020202020202,0.2268041237113402,0.2696629213483146,0.22448979591836735,0.24242424242424243,0.23076923076923078,0.1941747572815534,0.23300970873786409,0.2294855210209291,0.021708634971759712,1,Naive Bayes,,1e-07,,
0.011531662940979005,0.0014793507652555444,0.012873673439025879,0.000450491768937142,,{'C': 0.1},0.8981481481481481,0.9074074074074074,0.9065420560747663,0.897196261682243,0.9065420560747663,0.9065420560747663,0.8878504672897196,0.897196261682243,0.8878504672897196,0.8878504672897196,0.89831256490135,0.007853505542485848,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6,0.4898979485566356,3,0.08333333333333333,0.16666666666666666,0.09090909090909091,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.07575757575757576,0.06935025752330792,3,0.15384615384615385,0.2857142857142857,0.16666666666666666,0.0,0.2857142857142857,0.2857142857142857,0.0,0.15384615384615385,0.0,0.0,0.13315018315018315,0.11946685830751846,3,Logística,,,0.1,
0.0678593635559082,0.035701439538211824,0.027412009239196778,0.012218046481852077,,{'C': 1},0.9259259259259259,0.8981481481481481,0.9252336448598131,0.9345794392523364,0.9439252336448598,0.9252336448598131,0.9158878504672897,0.9252336448598131,0.9252336448598131,0.9252336448598131,0.9244634821737623,0.011190331168138822,2,1.0,0.5555555555555556,0.8,1.0,0.875,0.8333333333333334,0.8,0.7,1.0,0.8333333333333334,0.8397222222222223,0.1348412990367785,1,0.3333333333333333,0.4166666666666667,0.36363636363636365,0.36363636363636365,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.4143939393939394,0.09053268032887267,2,0.5,0.47619047619047616,0.5,0.5333333333333333,0.7,0.5555555555555556,0.47058823529411764,0.6363636363636364,0.5,0.5555555555555556,0.5427586792292673,0.07001991914622194,2,Logística,,,1.0,
0.11607298851013184,0.05342378504850342,0.03240413665771484,0.0114914247752123,,{'C': 10},0.9629629629629629,0.9166666666666666,0.9345794392523364,0.9439252336448598,0.9626168224299065,0.9252336448598131,0.9345794392523364,0.9252336448598131,0.9439252336448598,0.9252336448598131,0.9374956732433368,0.015047464413041346,1,1.0,0.6153846153846154,0.75,1.0,0.9,0.75,0.8571428571428571,0.6428571428571429,1.0,0.7,0.8215384615384614,0.14226839798624213,2,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.45454545454545453,0.75,0.5,0.5,0.75,0.5,0.5833333333333334,0.5916666666666666,0.1037325665483993,1,0.8,0.64,0.631578947368421,0.625,0.8181818181818182,0.6,0.631578947368421,0.6923076923076923,0.6666666666666666,0.6363636363636364,0.6741677708256656,0.07148541940818236,1,Logística,,,10.0,
0.04488108158111572,0.010032376128382816,0.027918457984924316,0.009562189062890962,,{'C': 0.1},0.8888888888888888,0.8888888888888888,0.897196261682243,0.897196261682243,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8899273104880582,0.0036566597843528596,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,SVM,,,0.1,
0.05807116031646729,0.019601338007904884,0.03672027587890625,0.012595370349231506,,{'C': 1},0.8888888888888888,0.8888888888888888,0.897196261682243,0.897196261682243,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8878504672897196,0.8899273104880582,0.0036566597843528596,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,SVM,,,1.0,
0.06452083587646484,0.017042416439625133,0.037769126892089847,0.012900823490562386,,{'C': 10},0.9444444444444444,0.9351851851851852,0.9252336448598131,0.9532710280373832,0.9532710280373832,0.9252336448598131,0.9626168224299065,0.9532710280373832,0.9532710280373832,0.9439252336448598,0.9449723087573554,0.012096265246996387,1,0.875,0.6923076923076923,0.6666666666666666,1.0,0.8888888888888888,0.75,1.0,0.8181818181818182,1.0,0.875,0.8566045066045065,0.11803242025595088,1,0.5833333333333334,0.75,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.5,0.6666666666666666,0.75,0.5833333333333334,0.5833333333333334,0.6174242424242424,0.08224146959093996,1,0.7,0.72,0.6,0.7058823529411765,0.7619047619047619,0.6,0.8,0.782608695652174,0.7368421052631579,0.7,0.710723791576127,0.06426378597818745,1,SVM,,,10.0,
2.525514554977417,1.2932873079342562,0.01079869270324707,0.001694111183424965,,"{'hidden_layer_sizes': (50,)}",0.9166666666666666,0.9259259259259259,0.9345794392523364,0.9439252336448598,0.9252336448598131,0.9439252336448598,0.9626168224299065,0.9532710280373832,0.9345794392523364,0.9345794392523364,0.9375302872966425,0.013062073487879258,2,0.6363636363636364,0.625,0.8333333333333334,0.8571428571428571,0.7,1.0,0.9,0.8181818181818182,0.7777777777777778,0.7272727272727273,0.787507215007215,0.11239717160150002,2,0.5833333333333334,0.8333333333333334,0.45454545454545453,0.5454545454545454,0.5833333333333334,0.5,0.75,0.75,0.5833333333333334,0.6666666666666666,0.625,0.11515400715006878,1,0.6086956521739131,0.7142857142857143,0.5882352941176471,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.8181818181818182,0.782608695652174,0.6666666666666666,0.6956521739130435,0.6844022984687946,0.06840467422844175,1,MLP,,,,"(50,)"
5.039703464508056,1.3890893392610002,0.013188552856445313,0.00017937409716947046,,"{'hidden_layer_sizes': (100,)}",0.9444444444444444,0.9259259259259259,0.9345794392523364,0.9439252336448598,0.9439252336448598,0.9252336448598131,0.9532710280373832,0.9439252336448598,0.9439252336448598,0.9345794392523364,0.939373485635168,0.008535031743169918,1,0.875,0.625,0.75,0.8571428571428571,0.875,1.0,0.8181818181818182,0.8,0.875,0.7272727272727273,0.8202597402597401,0.09735531319823863,1,0.5833333333333334,0.8333333333333334,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.3333333333333333,0.75,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6090909090909091,0.1276329678100163,2,0.7,0.7142857142857143,0.631578947368421,0.6666666666666666,0.7,0.5,0.782608695652174,0.7272727272727273,0.7,0.6956521739130435,0.6818064925158748,0.07090380658551182,2,MLP,,,,"(100,)"
1.776218843460083,0.45138898962727286,0.011020588874816894,0.002146189558134747,,"{'hidden_layer_sizes': (50, 50)}",0.9444444444444444,0.9166666666666666,0.9065420560747663,0.9439252336448598,0.9439252336448598,0.9252336448598131,0.9345794392523364,0.9439252336448598,0.9345794392523364,0.9439252336448598,0.9337746625129804,0.012784847721919297,3,0.875,0.6,0.5714285714285714,0.8571428571428571,0.8,1.0,0.7272727272727273,0.75,0.8571428571428571,0.75,0.7787987012987012,0.12255399452331689,3,0.5833333333333334,0.75,0.36363636363636365,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.5,0.75,0.5909090909090909,0.14689938961867663,3,0.7,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.7272727272727273,0.5,0.6956521739130435,0.75,0.631578947368421,0.75,0.6532281626331969,0.09803007812842568,3,MLP,,,,"(50, 50)"
